layer,norm_depth,act_type,knockout_type,stimulus_set,accuracy_drop,n_changed,n_total,is_critical
37,0.9048,a,zero,seta,0.0125,1,80,false
38,0.9286,a,zero,seta,0.0375,3,80,false
39,0.9524,a,zero,seta,0.0,0,80,false
40,0.9762,a,zero,seta,0.0375,3,80,false
41,1.0,a,zero,seta,0.0375,3,80,false
0,0.0238,a,zero,setb,0.020833333333333332,2,96,false
1,0.0476,a,zero,setb,0.0,0,96,false
2,0.0714,a,zero,setb,0.010416666666666666,1,96,false
3,0.0952,a,zero,setb,0.020833333333333332,2,96,false
4,0.119,a,zero,setb,0.020833333333333332,2,96,false
5,0.1429,a,zero,setb,0.0,0,96,false
6,0.1667,a,zero,setb,0.020833333333333332,2,96,false
7,0.1905,a,zero,setb,0.010416666666666666,1,96,false
8,0.2143,a,zero,setb,0.03125,3,96,false
9,0.2381,a,zero,setb,0.020833333333333332,2,96,false
10,0.2619,a,zero,setb,0.010416666666666666,1,96,false
11,0.2857,a,zero,setb,0.03125,3,96,false
12,0.3095,a,zero,setb,0.010416666666666666,1,96,false
13,0.3333,a,zero,setb,0.052083333333333336,5,96,false
14,0.3571,a,zero,setb,0.041666666666666664,4,96,false
15,0.381,a,zero,setb,0.020833333333333332,2,96,false
16,0.4048,a,zero,setb,0.052083333333333336,5,96,false
17,0.4286,a,zero,setb,0.07291666666666667,7,96,false
18,0.4524,a,zero,setb,0.052083333333333336,5,96,false
19,0.4762,a,zero,setb,0.052083333333333336,5,96,false
20,0.5,a,zero,setb,0.07291666666666667,7,96,false
21,0.5238,a,zero,setb,0.07291666666666667,7,96,false
22,0.5476,a,zero,setb,0.0625,6,96,false
23,0.5714,a,zero,setb,0.10416666666666667,10,96,false
24,0.5952,a,zero,setb,0.08333333333333333,8,96,false
25,0.619,a,zero,setb,0.10416666666666667,10,96,false
26,0.6429,a,zero,setb,0.10416666666666667,10,96,false
27,0.6667,a,zero,setb,0.07291666666666667,7,96,false
28,0.6905,a,zero,setb,0.08333333333333333,8,96,false
29,0.7143,a,zero,setb,0.125,12,96,false
30,0.7381,a,zero,setb,0.0625,6,96,false
31,0.7619,a,zero,setb,0.07291666666666667,7,96,false
32,0.7857,a,zero,setb,0.10416666666666667,10,96,false
33,0.8095,a,zero,setb,0.041666666666666664,4,96,false
34,0.8333,a,zero,setb,0.0625,6,96,false
35,0.8571,a,zero,setb,0.03125,3,96,false
36,0.881,a,zero,setb,0.03125,3,96,false
37,0.9048,a,zero,setb,0.03125,3,96,false
38,0.9286,a,zero,setb,0.0625,6,96,false
39,0.9524,a,zero,setb,0.041666666666666664,4,96,false
40,0.9762,a,zero,setb,0.052083333333333336,5,96,false
41,1.0,a,zero,setb,0.07291666666666667,7,96,false
0,0.0238,a,random,seta,0.0125,1,80,false
1,0.0476,a,random,seta,0.0125,1,80,false
2,0.0714,a,random,seta,0.0125,1,80,false
3,0.0952,a,random,seta,0.0,0,80,false
4,0.119,a,random,seta,0.0,0,80,false
5,0.1429,a,random,seta,0.0,0,80,false
6,0.1667,a,random,seta,0.0125,1,80,false
7,0.1905,a,random,seta,0.0125,1,80,false
8,0.2143,a,random,seta,0.0,0,80,false
9,0.2381,a,random,seta,0.0,0,80,false
10,0.2619,a,random,seta,0.0,0,80,false
11,0.2857,a,random,seta,0.0,0,80,false
12,0.3095,a,random,seta,0.0125,1,80,false
13,0.3333,a,random,seta,0.025,2,80,false
14,0.3571,a,random,seta,0.025,2,80,false
15,0.381,a,random,seta,0.025,2,80,false
16,0.4048,a,random,seta,0.025,2,80,false
17,0.4286,a,random,seta,0.05,4,80,false
18,0.4524,a,random,seta,0.0625,5,80,false
19,0.4762,a,random,seta,0.025,2,80,false
20,0.5,a,random,seta,0.0,0,80,false
21,0.5238,a,random,seta,0.025,2,80,false
22,0.5476,a,random,seta,0.05,4,80,false
23,0.5714,a,random,seta,0.05,4,80,false
24,0.5952,a,random,seta,0.075,6,80,false
25,0.619,a,random,seta,0.0625,5,80,false
26,0.6429,a,random,seta,0.0375,3,80,false
27,0.6667,a,random,seta,0.05,4,80,false
28,0.6905,a,random,seta,0.0125,1,80,false
29,0.7143,a,random,seta,0.0625,5,80,false
30,0.7381,a,random,seta,0.1125,9,80,false
31,0.7619,a,random,seta,0.0625,5,80,false
32,0.7857,a,random,seta,0.0625,5,80,false
33,0.8095,a,random,seta,0.025,2,80,false
34,0.8333,a,random,seta,0.075,6,80,false
