id,domain,condition,layer,norm_depth,p_emotional
setb_neu_018,neutral_control,B_neutral,7,0.5,0.000791
setb_neu_018,neutral_control,B_neutral,8,0.5625,0.001587
setb_neu_018,neutral_control,B_neutral,9,0.625,0.002141
setb_neu_018,neutral_control,B_neutral,10,0.6875,0.001745
setb_neu_018,neutral_control,B_neutral,11,0.75,0.002022
setb_neu_018,neutral_control,B_neutral,12,0.8125,0.002016
setb_neu_018,neutral_control,B_neutral,13,0.875,0.001735
setb_neu_018,neutral_control,B_neutral,14,0.9375,0.001383
setb_neu_018,neutral_control,B_neutral,15,1.0,0.001853
setb_neu_019,neutral_control,B_neutral,0,0.0625,0.0
setb_neu_019,neutral_control,B_neutral,1,0.125,0.0
setb_neu_019,neutral_control,B_neutral,2,0.1875,0.0
setb_neu_019,neutral_control,B_neutral,3,0.25,0.000071
setb_neu_019,neutral_control,B_neutral,4,0.3125,0.000014
setb_neu_019,neutral_control,B_neutral,5,0.375,0.000113
setb_neu_019,neutral_control,B_neutral,6,0.4375,0.000041
setb_neu_019,neutral_control,B_neutral,7,0.5,7e-6
setb_neu_019,neutral_control,B_neutral,8,0.5625,0.000017
setb_neu_019,neutral_control,B_neutral,9,0.625,0.000034
setb_neu_019,neutral_control,B_neutral,10,0.6875,0.000032
setb_neu_019,neutral_control,B_neutral,11,0.75,0.00007
setb_neu_019,neutral_control,B_neutral,12,0.8125,0.000093
setb_neu_019,neutral_control,B_neutral,13,0.875,0.00019
setb_neu_019,neutral_control,B_neutral,14,0.9375,0.000266
setb_neu_019,neutral_control,B_neutral,15,1.0,0.000206
setb_neu_020,neutral_control,B_neutral,0,0.0625,0.007716
setb_neu_020,neutral_control,B_neutral,1,0.125,0.000175
setb_neu_020,neutral_control,B_neutral,2,0.1875,5e-6
setb_neu_020,neutral_control,B_neutral,3,0.25,0.000026
setb_neu_020,neutral_control,B_neutral,4,0.3125,0.000045
setb_neu_020,neutral_control,B_neutral,5,0.375,0.000016
setb_neu_020,neutral_control,B_neutral,6,0.4375,1e-6
setb_neu_020,neutral_control,B_neutral,7,0.5,2e-6
