layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
8,0.2812,llama8b_base,h,within_A,0.9080357142857143,0.04505169932693884,0.5375,0.09354143466934853
9,0.3125,llama8b_base,h,within_A,0.9526785714285715,0.040583279204869704,0.7,0.15
10,0.3438,llama8b_base,h,within_A,0.9714285714285715,0.025348338511747122,0.8125,0.11858541225631422
11,0.375,llama8b_base,h,within_A,0.9642857142857142,0.03027825885323779,0.8125,0.08838834764831845
12,0.4062,llama8b_base,h,within_A,0.9839285714285714,0.025505101530510176,0.85,0.08477912478906585
13,0.4375,llama8b_base,h,within_A,0.9910714285714285,0.01785714285714284,0.8625,0.07288689868556626
14,0.4688,llama8b_base,h,within_A,0.9919642857142857,0.00953310558217078,0.875,0.07905694150420949
15,0.5,llama8b_base,h,within_A,0.9973214285714285,0.005357142857142838,0.925,0.07288689868556626
16,0.5312,llama8b_base,h,within_A,0.9982142857142857,0.0035714285714285587,0.95,0.046770717334674264
17,0.5625,llama8b_base,h,within_A,1.0,0.0,0.95,0.046770717334674264
18,0.5938,llama8b_base,h,within_A,1.0,0.0,0.9625,0.049999999999999996
19,0.625,llama8b_base,h,within_A,1.0,0.0,0.9625,0.049999999999999996
20,0.6562,llama8b_base,h,within_A,1.0,0.0,0.9625,0.049999999999999996
21,0.6875,llama8b_base,h,within_A,1.0,0.0,0.95,0.046770717334674264
22,0.7188,llama8b_base,h,within_A,1.0,0.0,0.9625,0.049999999999999996
23,0.75,llama8b_base,h,within_A,1.0,0.0,0.95,0.046770717334674264
24,0.7812,llama8b_base,h,within_A,1.0,0.0,0.95,0.04677071733467427
25,0.8125,llama8b_base,h,within_A,1.0,0.0,0.95,0.04677071733467427
26,0.8438,llama8b_base,h,within_A,1.0,0.0,0.95,0.04677071733467427
27,0.875,llama8b_base,h,within_A,1.0,0.0,0.95,0.04677071733467427
28,0.9062,llama8b_base,h,within_A,1.0,0.0,0.95,0.04677071733467427
29,0.9375,llama8b_base,h,within_A,1.0,0.0,0.95,0.04677071733467427
30,0.9688,llama8b_base,h,within_A,1.0,0.0,0.9375,0.03952847075210474
